"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
35,"Assam","Maulavi Saiyid Sir Muhammad Saadulla",NA,"01-04-1937","19-09-1938",NA,"http://assamassembly.gov.in/cm-list.html",536,NA,1937-04-01,"1937",0,NA,NA,NA,NA,NA,NA
36,"Assam","Gopinath Bordoloi",NA,"19-09-1938","17-11-1939",NA,"http://assamassembly.gov.in/cm-list.html",424,0,1938-09-19,"1938",0,NA,NA,NA,NA,NA,NA
37,"Assam","Maulavi Saiyid Sir Muhammad Saadulla",NA,"17-11-1939","24-12-1941",NA,"http://assamassembly.gov.in/cm-list.html",768,0,1939-11-17,"1939",0,NA,NA,NA,NA,NA,NA
38,"Assam","Maulavi Saiyid Sir Muhammad Saadulla",NA,"25-08-1942","11-02-1946",NA,"http://assamassembly.gov.in/cm-list.html",1266,244,1942-08-25,"1942",0,NA,NA,NA,NA,NA,NA
39,"Assam","Gopinath Bordoloi",NA,"11-02-1946","06-08-1950",NA,"http://assamassembly.gov.in/cm-list.html",1637,0,1946-02-11,"1946",0,NA,NA,NA,NA,NA,NA
40,"Assam","Bishnu Ram Medhi",NA,"09-08-1950","27-12-1957",NA,"http://assamassembly.gov.in/cm-list.html",2697,3,1950-08-09,"1950",0,NA,NA,NA,NA,NA,NA
41,"Assam","B.P. Chaliha",NA,"28-12-1957","06-11-1970",NA,"http://assamassembly.gov.in/cm-list.html",4696,1,1957-12-28,"1957",0,NA,NA,NA,NA,NA,NA
42,"Assam","Mohendra Mohan Choudhury",NA,"11-11-1970","30-01-1972",NA,"http://assamassembly.gov.in/cm-list.html",445,5,1970-11-11,"1970",4,NA,NA,NA,NA,NA,NA
43,"Assam","Shri Sarat Chandra Sinha",NA,"31-01-1972","12-03-1978",NA,"http://assamassembly.gov.in/cm-list.html",2232,1,1972-01-31,"1972",5,39,"KOKRAJHAR EAST",0,"AEAS196428","SARAT CHANDRA SINHA","lcs"
44,"Assam","Shri Golap Borbora",NA,"12-03-1978","04-09-1979",NA,"http://assamassembly.gov.in/cm-list.html",541,0,1978-03-12,"1978",6,122,"TINSUKIA",0,"AEAS196297","GOLAP BORBORAH","lcs"
45,"Assam","Shri Jogendra Nath Hazarika",NA,"09-09-1979","11-12-1979",NA,"http://assamassembly.gov.in/cm-list.html",93,5,1979-09-09,"1979",6,118,"DULIAJAN",0,"AEAS196262","JOGEN HAZARIKA","lcs"
46,"Assam","Shrimati Anowara Taimur",NA,"06-12-1980","30-06-1981",NA,"http://assamassembly.gov.in/cm-list.html",206,361,1980-12-06,"1980",6,68,"DALGAON",0,"AEAS195878","SYEDA ANWARA TAIMUR","cosine"
47,"Assam","Shri Kesab Chandra Gogoi",NA,"13-01-1982","19-03-1982",NA,"http://assamassembly.gov.in/cm-list.html",65,197,1982-01-13,"1982",6,116,"DIBRUGARH",0,"AEAS196243","KESHAB CHANDRA GOGOI","lcs"
48,"Assam","Shri Hiteswar Saikia",NA,"27-02-1983","23-12-1985",NA,"http://assamassembly.gov.in/cm-list.html",1030,345,1983-02-27,"1983",7,104,"NAZIRA",0,"AEAS195303","HITESWAR SAIKIA","lcs"
49,"Assam","Shri Prafulla Kumar Mahanta",NA,"24-12-1985","27-11-1990",NA,"http://assamassembly.gov.in/cm-list.html",1799,1,1985-12-24,"1985",8,NA,NA,NA,NA,NA,NA
50,"Assam","Shri Hiteswar Saikia",NA,"30-06-1991","22-04-1996",NA,"http://assamassembly.gov.in/cm-list.html",1758,215,1991-06-30,"1991",9,104,"NAZIRA",0,"AEAS193472","HITESHWAR SAIKIA","lcs"
51,"Assam","Dr. Bhumidhar Barman",NA,"22-04-1996","14-05-1996",NA,"http://assamassembly.gov.in/cm-list.html",22,0,1996-04-22,"1996",10,NA,NA,NA,NA,NA,NA
52,"Assam","Shri Prafulla Kumar Mahanta",NA,"15-05-1996","17-05-2001",NA,"http://assamassembly.gov.in/cm-list.html",1828,1,1996-05-15,"1996",10,NA,NA,NA,NA,NA,NA
53,"Assam","Shri Tarun Gogoi",NA,"17-05-2001",NA,NA,"http://assamassembly.gov.in/cm-list.html",-37028,0,2001-05-17,"2001",11,100,"TITABAR(SC)",1,"AEAS190641","TARUN GOGOI","lcs"
54,"Assam","Shri Sarbananda Sonowal",NA,"24-05-2016",NA,NA,"http://assamassembly.gov.in/cm-list.html",-42514,NA,2016-05-24,"2016",14,99,"MAJULI",0,"AEAS187641","SARBANANDA SONOWAL","lcs"
