"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
140,"Karnataka","Sri K.CHENGALARAYA REDDY",NA,"25-10-1947","30-03-1952",NA,"http://www.kla.kar.nic.in/prevcms.htm",1618,NA,1947-10-25,"1947",0,NA,NA,NA,NA,NA,NA
141,"Karnataka","Sri K.HANUMANTHAIAH",NA,"30-03-1952","19-08-1956",NA,"http://www.kla.kar.nic.in/prevcms.htm",1603,0,1952-03-30,"1952",0,NA,NA,NA,NA,NA,NA
142,"Karnataka","Sri KADIDAL MANJAPPA",NA,"19-08-1956","31-10-1956",NA,"http://www.kla.kar.nic.in/prevcms.htm",73,0,1956-08-19,"1956",0,NA,NA,NA,NA,NA,NA
143,"Karnataka","Sri S.NIJALINGAPPA",NA,"01-11-1956","16-05-1958",NA,"http://www.kla.kar.nic.in/prevcms.htm",561,1,1956-11-01,"1956",0,NA,NA,NA,NA,NA,NA
144,"Karnataka","Sri B.D.JATTI",NA,"16-05-1958","09-03-1962",NA,"http://www.kla.kar.nic.in/prevcms.htm",1393,0,1958-05-16,"1958",0,NA,NA,NA,NA,NA,NA
145,"Karnataka","Sri S.R.KANTHI",NA,"14-03-1962","20-06-1962",NA,"http://www.kla.kar.nic.in/prevcms.htm",98,5,1962-03-14,"1962",0,NA,NA,NA,NA,NA,NA
146,"Karnataka","Sri S.NIJALINGAPPA",NA,"21-06-1962","28-05-1968",NA,"http://www.kla.kar.nic.in/prevcms.htm",2168,1,1962-06-21,"1962",0,NA,NA,NA,NA,NA,NA
147,"Karnataka","Sri VEERENDRA PATIL",NA,"29-05-1968","18-03-1971",NA,"http://www.kla.kar.nic.in/prevcms.htm",1023,1,1968-05-29,"1968",0,NA,NA,NA,NA,NA,NA
148,"Karnataka","PRESIDENT`S RULE",NA,"19-03-1971","20-03-1972",NA,"http://www.kla.kar.nic.in/prevcms.htm",367,1,1971-03-19,"1971",0,NA,NA,NA,NA,NA,NA
149,"Karnataka","Sri D.DEVRAJ URS",NA,"20-03-1972","31-12-1977",NA,"http://www.kla.kar.nic.in/prevcms.htm",2112,0,1972-03-20,"1972",0,NA,NA,NA,NA,NA,NA
150,"Karnataka","PRESIDENTS RULE",NA,"31-12-1977","28-02-1978",NA,"http://www.kla.kar.nic.in/prevcms.htm",59,0,1977-12-31,"1977",0,NA,NA,NA,NA,NA,NA
151,"Karnataka","Sri D.DEVARAJ URS",NA,"28-02-1978","07-01-1980",NA,"http://www.kla.kar.nic.in/prevcms.htm",678,0,1978-02-28,"1978",1,123,"HUNSUR",0,"AEKA107930","D.DEVARAJ URS","lcs"
152,"Karnataka","Sri R.GUNDU RAO",NA,"12-01-1980","06-01-1983",NA,"http://www.kla.kar.nic.in/prevcms.htm",1090,5,1980-01-12,"1980",1,128,"SOMWARPET",0,"AEKA106140","R. GUNDA RAO","lcs"
153,"Karnataka","Sri RAMAKRISHNA HEGDE",NA,"10-01-1983","29-12-1984",NA,"http://www.kla.kar.nic.in/prevcms.htm",719,4,1983-01-10,"1983",2,171,"ANKOLA",0,"AEKA13379","HEGDE SHRIPAD RAMAKRISHNA","lcs"
154,"Karnataka","Sri RAMAKRISHNA HEGDE",NA,"08-03-1985","13-02-1986",NA,"http://www.kla.kar.nic.in/prevcms.htm",342,69,1985-03-08,"1985",3,82,"BASAVANAGUDI",0,"AEKA10205","RAMAKRISHNA HEGDE","lcs"
155,"Karnataka","Sri RAMAKRISHNA HEGDE",NA,"16-02-1986","10-08-1988",NA,"http://www.kla.kar.nic.in/prevcms.htm",906,3,1986-02-16,"1986",3,82,"BASAVANAGUDI",0,"AEKA10205","RAMAKRISHNA HEGDE","lcs"
