"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
173,"Kerela","Shri. E. M. S. Namboodiripad",NA,"05-04-1957","31-07-1959",NA,"https://kerala.gov.in/chief-ministers-since-1957",847,NA,1957-04-05,"1957",0,NA,NA,NA,NA,NA,NA
174,"Kerela","Shri. Pattom A. Thanu Pillai",NA,"22-02-1960","26-09-1962",NA,"https://kerala.gov.in/chief-ministers-since-1957",947,206,1960-02-22,"1960",0,NA,NA,NA,NA,NA,NA
175,"Kerela"," Shri. R. Sankar",NA,"26-09-1962","10-09-1964",NA,"https://kerala.gov.in/chief-ministers-since-1957",715,0,1962-09-26,"1962",0,NA,NA,NA,NA,NA,NA
176,"Kerela"," Shri. E. M. S. Namboodiripad",NA,"06-03-1967","01-11-1969",NA,"https://kerala.gov.in/chief-ministers-since-1957",971,907,1967-03-06,"1967",4,37,"PATTAMBI",0,"AEKL110006","E.M.S.NAMBOODIRIPAD","lcs"
177,"Kerela"," Shri. C. Achutha Menon",NA,"01-11-1969","01-08-1970",NA,"https://kerala.gov.in/chief-ministers-since-1957",273,0,1969-11-01,"1969",4,NA,NA,NA,NA,NA,NA
178,"Kerela"," Shri. C. Achutha Menon",NA,"04-10-1970","25-03-1977",NA,"https://kerala.gov.in/chief-ministers-since-1957",2364,64,1970-10-04,"1970",5,56,"KODAKARA",0,"AEKL109569","C. ACHUTHA MENON","lcs"
179,"Kerela"," Shri. K. Karunakaran",NA,"25-03-1977","25-04-1977",NA,"https://kerala.gov.in/chief-ministers-since-1957",31,0,1977-03-25,"1977",6,62,"MALA",0,"AEKL105660","K. KARUNAKARAN","lcs"
180,"Kerela"," Shri. A. K. Antony",NA,"27-04-1977","27-10-1978",NA,"https://kerala.gov.in/chief-ministers-since-1957",548,2,1977-04-27,"1977",6,NA,NA,NA,NA,NA,NA
181,"Kerela"," Shri. P. K. Vasudevan Nair",NA,"29-10-1978","07-10-1979",NA,"https://kerala.gov.in/chief-ministers-since-1957",343,2,1978-10-29,"1978",6,100,"ALLEPPEY",0,"GEKL16737","P. K. VASUDEVAN NAIR","lcs"
182,"Kerela"," Shri. C. H. Mohammed Koya",NA,"12-10-1979","01-12-1979",NA,"https://kerala.gov.in/chief-ministers-since-1957",50,5,1979-10-12,"1979",6,34,"MALAPPURAM",0,"AEKL108285","C. H. MOHAMMED KOYA","lcs"
183,"Kerela"," Shri. E. K. Nayanar",NA,"25-01-1980","20-10-1981",NA,"https://kerala.gov.in/chief-ministers-since-1957",634,55,1980-01-25,"1980",7,48,"MALAMPUZHA",0,"AEKL108333","E. K. NAYANAR","lcs"
184,"Kerela"," Shri. K. Karunakaran",NA,"28-12-1981","17-03-1982",NA,"https://kerala.gov.in/chief-ministers-since-1957",79,69,1981-12-28,"1981",7,62,"MALA",0,"AEKL105660","K. KARUNAKARAN","lcs"
185,"Kerela"," Shri. K. Karunakaran",NA,"24-05-1982","25-03-1987",NA,"https://kerala.gov.in/chief-ministers-since-1957",1766,68,1982-05-24,"1982",8,62,"MALA",0,"AEKL105660","K. KARUNAKARAN","lcs"
186,"Kerela"," Shri. E. K. Nayanar",NA,"26-03-1987","17-06-1991",NA,"https://kerala.gov.in/chief-ministers-since-1957",1544,1,1987-03-26,"1987",9,5,"TRIKKARPUR",0,"AEKL108333","E. K. NAYANAR","lcs"
187,"Kerela"," Shri. K. Karunakaran",NA,"24-06-1991","16-03-1995",NA,"https://kerala.gov.in/chief-ministers-since-1957",1361,7,1991-06-24,"1991",10,62,"MALA",0,"AEKL105660","K. KARUNAKARAN","lcs"
188,"Kerela"," Shri. A. K. Antony",NA,"22-03-1995","09-05-1996",NA,"https://kerala.gov.in/chief-ministers-since-1957",414,6,1995-03-22,"1995",10,36,"Thirurangadi",1,"","A.K.Antony","lcs"
189,"Kerela"," Shri. E. K. Nayanar",NA,"20-05-1996","13-05-2001",NA,"https://kerala.gov.in/chief-ministers-since-1957",1819,11,1996-05-20,"1996",11,12,"Tellicherry",1,"AEKL108333","E.K. Nayanar","lcs"
190,"Kerela"," Shri. A. K. Antony",NA,"17-05-2001","29-08-2004",NA,"https://kerala.gov.in/chief-ministers-since-1957",1200,4,2001-05-17,"2001",12,98,"SHERTHALAI",0,"AEKL103901","A K ANTONY","lcs"
191,"Kerela"," Shri. Oommen Chandy",NA,"31-08-2004","12-05-2006",NA,"https://kerala.gov.in/chief-ministers-since-1957",619,2,2004-08-31,"2004",12,92,"PUTHUPPALLY",0,"AEKL109684","OOMMEN CHANDY","lcs"
192,"Kerela"," Shri. V. S. Achuthanandan",NA,"18-05-2006","14-05-2011",NA,"https://kerala.gov.in/chief-ministers-since-1957",1822,6,2006-05-18,"2006",13,48,"MALAMPUZHA",0,"AEKL105902","V.S. ACHUTHANANDAN","lcs"
193,"Kerela"," Shri. Oommen Chandy",NA,"18-05-2011","20-05-2016",NA,"https://kerala.gov.in/chief-ministers-since-1957",1829,4,2011-05-18,"2011",14,98,"PUTHUPPALLY",0,"AEKL109684","OOMMEN CHANDY","lcs"
194,"Kerela"," Shri. Pinarayi Vijayan",NA,"25-05-2016",NA,NA,"https://kerala.gov.in/chief-ministers-since-1957",-42515,5,2016-05-25,"2016",15,12,"DHARMADAM",0,"AEKL105418","PINARAYI VIJAYAN","lcs"
