"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
260,"Mizoram","Ch Chhunga",NA,"03-05-1972","10-05-1977",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1833,NA,1972-05-03,"1972",1,27,"KOLASIB",0,"AEMZ1851","CH CHHUNGA","lcs"
261,"Mizoram","President's Rule",NA,"11-05-1977","01-06-1978",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",386,1,1977-05-11,"1977",1,NA,NA,NA,NA,NA,NA
262,"Mizoram","Brig T Sailo",NA,"02-06-1978","10-11-1978",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",161,1,1978-06-02,"1978",2,NA,NA,NA,NA,NA,NA
263,"Mizoram","President's Rule",NA,"11-11-1978","07-05-1979",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",177,1,1978-11-11,"1978",2,NA,NA,NA,NA,NA,NA
264,"Mizoram","Brig T Sailo",NA,"08-05-1979","04-05-1984",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1823,1,1979-05-08,"1979",3,27,"AIZAWL NORTH",0,"AEMZ1695","THENPHUNGA SAILO","lcs"
265,"Mizoram","Lal Thanhawla",NA,"05-05-1984","20-08-1986",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",837,1,1984-05-05,"1984",4,24,"SERCHHIP",0,"AEMZ1843","LAL THANHAWLA","lcs"
266,"Mizoram","Laldenga",NA,"21-08-1986","19-02-1987",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",182,1,1986-08-21,"1986",4,NA,NA,NA,NA,NA,NA
267,"Mizoram","Laldenga",NA,"20-02-1987","07-10-1988",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",595,1,1987-02-20,"1987",5,NA,NA,NA,NA,NA,NA
268,"Mizoram","President's Rule",NA,"08-10-1988","23-01-1989",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",107,1,1988-10-08,"1988",5,NA,NA,NA,NA,NA,NA
269,"Mizoram","Lal Thanhawla",NA,"24-01-1989","07-12-1993",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1778,1,1989-01-24,"1989",6,NA,NA,NA,NA,NA,NA
270,"Mizoram","Lal Thanhawla",NA,"08-12-1993","03-12-1998",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1821,1,1993-12-08,"1993",7,30,"SERCHHIP",0,"AEMZ1843","LAL THANHAWLA","lcs"
271,"Mizoram","Zoramthanga",NA,"04-12-1998","(NA)",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",NA,1,1998-12-04,"1998",8,NA,NA,NA,NA,NA,NA
272,"Mizoram","Zoramthanga",NA,"25-06-1905","09-12-2008",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",37788,NA,1905-06-25,"1905",0,NA,NA,NA,NA,NA,NA
273,"Mizoram","Lal Thanhawla",NA,"10-12-2008","11-12-2013",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1827,1,2008-12-10,"2008",10,NA,NA,NA,NA,NA,NA
274,"Mizoram","Lal Thanhawla",NA,"12-12-2013","14-12-2018",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",1828,1,2013-12-12,"2013",11,NA,NA,NA,NA,NA,NA
275,"Mizoram","Zoramthanga",NA,"15-12-2018","Till-Date",NA,"https://rajbhavan.mizoram.gov.in/page/chief-ministers-of-mizoram",NA,1,2018-12-15,"2018",12,13,"AIZAWL EAST - I",0,"AEMZ76266","ZORAMTHANGA","lcs"
