"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
195,"Madhya Pradesh","Shri Ravishankar Shukla",NA,"01-11-1956","31-12-1956",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",60,NA,1956-11-01,"1956",0,NA,NA,NA,NA,NA,NA
196,"Madhya Pradesh","Shri Bhagwantrao Mandloi",NA,"01-01-1957","30-01-1957",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",29,1,1957-01-01,"1957",0,NA,NA,NA,NA,NA,NA
197,"Madhya Pradesh","Dr. Kailashnath Katju",NA,"31-01-1957","14-04-1957",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",73,1,1957-01-31,"1957",0,NA,NA,NA,NA,NA,NA
198,"Madhya Pradesh","Dr. Kailashnath Katju",NA,"15-04-1957","11-03-1962",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1791,1,1957-04-15,"1957",0,NA,NA,NA,NA,NA,NA
199,"Madhya Pradesh","Shri Bhagwantrao Mandloi",NA,"12-03-1962","29-09-1963",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",566,1,1962-03-12,"1962",3,258,"KHANDWA",0,"AEMP1231","BHAGWANT RAO","lcs"
200,"Madhya Pradesh","Shri Dwarka Prasad Mishra",NA,"30-09-1963","08-03-1967",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1255,1,1963-09-30,"1963",3,NA,NA,NA,NA,NA,NA
201,"Madhya Pradesh","Shri Dwarka Prasad Mishra",NA,"09-03-1967","29-07-1967",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",142,1,1967-03-09,"1967",4,174,"KATANGI",0,"AEMP2313","D. P. MISRA","lcs"
202,"Madhya Pradesh","Shri Govindnarayan Singh",NA,"30-07-1967","12-03-1969",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",591,1,1967-07-30,"1967",4,35,"TIKAMGARH",0,"AEMP1592","G. SINGH","lcs"
203,"Madhya Pradesh","Shri Raja Nareshchandra Singh",NA,"13-03-1969","25-03-1969",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",12,1,1969-03-13,"1969",4,NA,NA,NA,NA,NA,NA
204,"Madhya Pradesh","Shri Shyamacharan Shukla",NA,"26-03-1969","28-01-1972",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1038,1,1969-03-26,"1969",4,NA,NA,NA,NA,NA,NA
205,"Madhya Pradesh","Shri Prakash Chandra Sethi",NA,"29-01-1972","22-03-1972",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",53,1,1972-01-29,"1972",5,NA,NA,NA,NA,NA,NA
206,"Madhya Pradesh","Shri Prakash Chandra Sethi  ",NA,"23-03-1972","22-12-1975",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1369,1,1972-03-23,"1972",5,NA,NA,NA,NA,NA,NA
207,"Madhya Pradesh","Shri Shyamacharan Shukla",NA,"23-12-1975","29-04-1977",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",493,1,1975-12-23,"1975",5,121,"RAJIM",0,"AEMP631","SHYAMCHARAN SHUKLA","lcs"
208,"Madhya Pradesh","President’s Rule",NA,"30-04-1977","25-06-1977",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",56,1,1977-04-30,"1977",6,NA,NA,NA,NA,NA,NA
209,"Madhya Pradesh","Shri Kailsh Chandra Joshi  ",NA,"26-06-1977","17-01-1978",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",205,1,1977-06-26,"1977",6,279,"BAGLI",0,"AEMP6173","KAILASH CHANDRA JOSHI","lcs"
210,"Madhya Pradesh","Shri Virendra Kumar Sakhlecha",NA,"18-01-1978","19-01-1980",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",731,1,1978-01-18,"1978",6,320,"JAWAD",0,"AEMP4304","VIRENDRA KUMAR SAKHLECHA","lcs"
211,"Madhya Pradesh","Shri Sunderlal Patwa",NA,"20-01-1980","17-02-1980",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",28,1,1980-01-20,"1980",7,237,"SEHORE",0,"AEMP7811","SUNDER LAL PATWA","lcs"
212,"Madhya Pradesh","President’s Rule",NA,"18-02-1980","08-06-1980",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",111,1,1980-02-18,"1980",7,NA,NA,NA,NA,NA,NA
