"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
339,"Sikkim","Prem Singh Tamang",NA,"27-05-2019","Present",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",NA,0,2019-05-27,"2019",8,28,"UPPER BURTUK",0,"AESK83131","PREM SINGH TAMANG","lcs"
340,"Sikkim","Pawan Kumar Chamling",NA,"21-05-2014","27-05-2019",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1832,0,2014-05-21,"2014",8,NA,NA,NA,NA,NA,NA
341,"Sikkim","Pawan Kumar Chamling",NA,"20-05-2009","21-05-2014",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1827,0,2009-05-20,"2009",7,NA,NA,NA,NA,NA,NA
342,"Sikkim","Pawan Kumar Chamling",NA,"21-05-2004","20-05-2009",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1825,0,2004-05-21,"2004",6,NA,NA,NA,NA,NA,NA
343,"Sikkim","Pawan Kumar Chamling",NA,"01-10-1999","21-05-2004",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1694,0,1999-10-01,"1999",5,13,"DAMTHANG",0,"AESK83452","PAWAN KUMAR CHAMLING","lcs"
344,"Sikkim","Pawan Kumar Chamling",NA,"12-12-1994","01-10-1999",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1754,0,1994-12-12,"1994",4,13,"DAMTHANG",0,"AESK83578","PAWAN KUMAR CHAMLING","lcs"
345,"Sikkim","Sanchaman Limboo",NA,"17-06-1994","12-12-1994",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",178,0,1994-06-17,"1994",4,NA,NA,NA,NA,NA,NA
346,"Sikkim","Nar Bahadur Bhandari",NA,"30-11-1989","17-06-1994",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1660,0,1989-11-30,"1989",3,8,"SOREONG",0,"AESK83554","NAR BAHADUR BHANDARI","lcs"
347,"Sikkim","Nar Bahadur Bhandari",NA,"08-03-1985","30-11-1989",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1728,0,1985-03-08,"1985",2,3,"GEYZING",0,"AESK83171","MAN BAHADUR DAHAL","lcs"
348,"Sikkim","President's rule",NA,"25-05-1984","08-03-1985",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",287,0,1984-05-25,"1984",1,NA,NA,NA,NA,NA,NA
349,"Sikkim","B. B. Gurung",NA,"11-05-1984","25-05-1984",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",14,0,1984-05-11,"1984",1,7,"CHAKUNG",0,"AESK84064","B.B. GURUNG","lcs"
350,"Sikkim","Nar Bahadur Bhandari",NA,"18-10-1979","11-05-1984",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1667,0,1979-10-18,"1979",1,8,"SOREONG",0,"AESK84073","NAR BAHADUR BHANDARI","lcs"
351,"Sikkim","President's rule",NA,"18-08-1979","18-10-1979",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",61,0,1979-08-18,"1979",1,NA,NA,NA,NA,NA,NA
352,"Sikkim","Kazi Lhendup Dorjee",NA,"16-05-1975","18-08-1979",NA,"https://www.oneindia.com/list-of-chief-ministers-of-sikkim/",1555,NA,1975-05-16,"1975",0,NA,NA,NA,NA,NA,NA
