"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
353,"Tamil Nadu","Thiru A Subbarayalu",NA,"17-12-1920","11-07-1921",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",206,NA,1920-12-17,"1920",0,NA,NA,NA,NA,NA,NA
354,"Tamil Nadu","Thiru Panagal Raja",NA,"11-07-1921","03-12-1926",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1971,0,1921-07-11,"1921",0,NA,NA,NA,NA,NA,NA
355,"Tamil Nadu","Dr. P Subbarayan",NA,"04-12-1926","27-10-1930",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1423,1,1926-12-04,"1926",0,NA,NA,NA,NA,NA,NA
356,"Tamil Nadu","Thiru P Munuswamy Naidu",NA,"27-10-1930","04-11-1932",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",739,0,1930-10-27,"1930",0,NA,NA,NA,NA,NA,NA
357,"Tamil Nadu","Thiru Ramakrishna Ranga Rao, Raja of Bobbili",NA,"05-11-1932","04-04-1936",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1246,1,1932-11-05,"1932",0,NA,NA,NA,NA,NA,NA
358,"Tamil Nadu","Thiru P T Rajan",NA,"04-04-1936","24-08-1936",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",142,0,1936-04-04,"1936",0,NA,NA,NA,NA,NA,NA
359,"Tamil Nadu","Thiru Ramakrishna Ranga Rao, Raja of Bobbili",NA,"24-08-1936","01-04-1937",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",220,0,1936-08-24,"1936",0,NA,NA,NA,NA,NA,NA
360,"Tamil Nadu","Thiru Kurma Venkata Reddy Naidu",NA,"01-04-1937","14-07-1937",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",104,0,1937-04-01,"1937",0,NA,NA,NA,NA,NA,NA
361,"Tamil Nadu","Thiru C Rajagopalachari",NA,"14-07-1937","29-10-1939",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",837,0,1937-07-14,"1937",0,NA,NA,NA,NA,NA,NA
362,"Tamil Nadu","Thiru Tanguturi Prakasam",NA,"30-04-1946","23-03-1947",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",327,2375,1946-04-30,"1946",0,NA,NA,NA,NA,NA,NA
363,"Tamil Nadu","Thiru O P Ramaswamy Reddiyar",NA,"23-03-1947","06-04-1949",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",745,0,1947-03-23,"1947",0,NA,NA,NA,NA,NA,NA
364,"Tamil Nadu","Thiru P S  Kumaraswamy Raja",NA,"06-04-1949","09-04-1952",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1099,0,1949-04-06,"1949",0,NA,NA,NA,NA,NA,NA
365,"Tamil Nadu","Thiru C  Rajagopalachari",NA,"10-04-1952","13-04-1954",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",733,1,1952-04-10,"1952",0,NA,NA,NA,NA,NA,NA
366,"Tamil Nadu","Thiru K Kamaraj",NA,"13-04-1954","02-10-1963",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",3459,0,1954-04-13,"1954",0,NA,NA,NA,NA,NA,NA
367,"Tamil Nadu","Thiru M Bakthavatsalam",NA,"02-10-1963","06-03-1967",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1251,0,1963-10-02,"1963",0,NA,NA,NA,NA,NA,NA
368,"Tamil Nadu","Dr. C.N. Annadurai",NA,"06-03-1967","03-02-1969",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",700,0,1967-03-06,"1967",0,NA,NA,NA,NA,NA,NA
369,"Tamil Nadu","Dr. Kalaignar M Karunanidhi",NA,"10-02-1969","04-01-1971",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",693,7,1969-02-10,"1969",0,NA,NA,NA,NA,NA,NA
370,"Tamil Nadu","Dr. Kalaignar M Karunanidhi",NA,"15-03-1971","31-01-1976",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1783,70,1971-03-15,"1971",1,12,"SAIDAPET",0,"AETN189483","M KARUNANIDHI","lcs"
371,"Tamil Nadu","Dr. M G Ramachandran",NA,"30-06-1977","17-02-1980",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",962,516,1977-06-30,"1977",2,204,"ARUPPUKOTTAI",0,"AETN211897","M.G. RAMACHANDRAN","lcs"
372,"Tamil Nadu","Dr. M G Ramachandran",NA,"09-06-1980","15-11-1984",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1620,113,1980-06-09,"1980",3,142,"MADURAI WEST",0,"AETN211897","RAMACHANDRAN, M. G.","lcs"
373,"Tamil Nadu","Dr. M G Ramachandran",NA,"10-02-1985","24-12-1987",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1047,87,1985-02-10,"1985",4,135,"ANDIPATTI",0,"AETN211897","M.G. RAMACHANDRAN","lcs"
374,"Tamil Nadu","Thirumathi Janaki Ramachandran",NA,"07-01-1988","30-01-1988",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",23,14,1988-01-07,"1988",4,NA,NA,NA,NA,NA,NA
375,"Tamil Nadu","Dr. Kalaignar M Karunanidhi",NA,"27-01-1989","30-01-1991",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",733,363,1989-01-27,"1989",5,2,"HARBOUR",0,"AETN189483","M. KARUNANIDHI","lcs"
376,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"24-06-1991","12-05-1996",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1784,145,1991-06-24,"1991",6,NA,NA,NA,NA,NA,NA
377,"Tamil Nadu","Dr. Kalaignar M Karunanidhi",NA,"13-05-1996","13-05-2001",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1826,1,1996-05-13,"1996",7,11,"CHEPAUK",0,"AETN198445","M.KARUNA NIDHI","lcs"
378,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"14-05-2001","21-09-2001",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",130,1,2001-05-14,"2001",8,135,"ANDIPATTI",1,"AETN192262","JAYALALITHAA J.","lcs"
379,"Tamil Nadu","Thiru O. Panneerselvam",NA,"21-09-2001","01-03-2002",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",161,0,2001-09-21,"2001",8,131,"PERIYAKULAM",0,"AETN189985","PANNEER SELVAM O","lcs"
380,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"02-03-2002","12-05-2006",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1532,1,2002-03-02,"2002",8,135,"ANDIPATTI",1,"AETN192262","JAYALALITHAA J.","lcs"
381,"Tamil Nadu","Dr. Kalaignar M. Karunanidhi",NA,"13-05-2006","15-05-2011",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1828,1,2006-05-13,"2006",9,11,"CHEPAUK",0,"AETN189483","KARUNANIDHI M.","lcs"
382,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"16-05-2011","27-09-2014",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",1230,1,2011-05-16,"2011",10,139,"SRIRANGAM",0,"AETN192262","J JAYALALITHAA","lcs"
383,"Tamil Nadu","Thiru O. Panneerselvam",NA,"29-09-2014","22-05-2015",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",235,2,2014-09-29,"2014",10,200,"BODINAYAKANUR",0,"AETN189985","PANNEERSELVAM O","lcs"
384,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"23-05-2015","21-05-2016",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",364,1,2015-05-23,"2015",10,139,"SRIRANGAM",0,"AETN192262","J JAYALALITHAA","lcs"
385,"Tamil Nadu","Dr. Selvi J Jayalalithaa",NA,"23-05-2016","05-12-2016",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",196,2,2016-05-23,"2016",11,11,"DR. RADHAKRISHNAN NAGAR",0,"AETN192262","JAYALALITHAA J","lcs"
386,"Tamil Nadu","Thiru O. Panneerselvam",NA,"06-12-2016","15-02-2017",NA,"http://www.assembly.tn.gov.in/history/cmlist.htm",71,1,2016-12-06,"2016",11,200,"BODINAYAKANUR",0,"AETN189985","O. PANNEERSELVAM","lcs"
