"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
387,"Tripura","Sachindra Lal Singh",NA,"01-07-1963","01-11-1971",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",3045,NA,1963-07-01,"1963",0,NA,NA,NA,NA,NA,NA
388,"Tripura","Vacant",NA,"01-11-1971","20-03-1972",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",140,0,1971-11-01,"1971",1,NA,NA,NA,NA,NA,NA
389,"Tripura","(President's rule)",NA,NA,NA,NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,"Tripura","Sukhamoy Sen Gupta",NA,"20-03-1972","31-03-1977",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",1837,0,1972-03-20,"1972",2,7,"AGARTALA TOWN I I I",0,"AETR12","SUKHAMOY SEN GUPTA","lcs"
391,"Tripura","Prafulla Kumar Das",NA,"01-04-1977","25-07-1977",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",115,1,1977-04-01,"1977",3,NA,NA,NA,NA,NA,NA
392,"Tripura","Radhika Ranjan Gupta",NA,"26-07-1977","04-11-1977",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",101,1,1977-07-26,"1977",3,NA,NA,NA,NA,NA,NA
393,"Tripura","Vacant",NA,"05-11-1977","05-01-1978",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",61,1,1977-11-05,"1977",3,NA,NA,NA,NA,NA,NA
394,"Tripura","(President's rule)",NA,NA,NA,NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,"Tripura","Nripen Chakraborty",NA,"05-01-1978","05-02-1988",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",3683,0,1978-01-05,"1978",3,26,"ASHARAMBARI",0,"AETR1112","NRIPEN CHAKRABARTY","lcs"
396,"Tripura","Sudhir Ranjan Majumdar",NA,"05-02-1988","19-02-1992",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",1475,0,1988-02-05,"1988",5,8,"TOWN BORDOWALI",0,"AETR664","SUDHIR RANJAN MAJUMDAR","lcs"
397,"Tripura","Samir Ranjan Barman",NA,"19-02-1992","10-03-1993",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",385,0,1992-02-19,"1992",5,16,"BISHALGARH",0,"AETR157","SAMIR RANJAN BARMAN","lcs"
398,"Tripura","Vacant",NA,"11-03-1993","10-04-1993",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",30,1,1993-03-11,"1993",6,NA,NA,NA,NA,NA,NA
399,"Tripura","(President's rule)",NA,NA,NA,NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"Tripura","Dasarath Deb",NA,"10-04-1993","11-03-1998",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",1796,0,1993-04-10,"1993",6,23,"DHANPUR",0,"AETR438","DASHARATH DEB","lcs"
401,"Tripura","Manik Sarkar",NA,"11-03-1998","09-03-2018",NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",7303,0,1998-03-11,"1998",7,22,"SONAMURA",0,"AETR1069","MANIK SARKAR","lcs"
402,"Tripura","Biplab Kumar Deb",NA,"09-03-2018",NA,NA,"https://tripurainfo.com/AboutTripura/Tripura_CMs.htm",NA,0,2018-03-09,"2018",11,9,"BANAMALIPUR",0,"AETR153","BIPLAB KUMAR DEB","lcs"
