"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
437,"Uttarakhand","Shri Nityanand Swami",NA,"09-11-2000","29-10-2001",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",354,NA,2000-11-09,"2000",0,NA,NA,NA,NA,NA,NA
438,"Uttarakhand","Shri Bhagat Singh koshiyari",NA,"30-10-2001","01-03-2002",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",122,1,2001-10-30,"2001",0,NA,NA,NA,NA,NA,NA
439,"Uttarakhand","Shri Narayan Dutt Tiwari",NA,"02-03-2002","07-03-2007",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",1831,1,2002-03-02,"2002",1,56,"RAMNAGAR",1,"AEUP153033","NARAYAN DATT TIWARI","lcs"
440,"Uttarakhand","Maj.General.B.C.Khanduri",NA,"07-03-2007","26-06-2009",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",842,0,2007-03-07,"2007",2,NA,NA,NA,NA,NA,NA
441,"Uttarakhand","Dr.Ramesh Pokhriyal\"\"Nishank\"\"",NA,"27-06-2009","10-09-2011",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",805,1,2009-06-27,"2009",2,35,"THALISAIN",0,"AEUP74612","DR. RAMESH POKHARIYAL NISHANK","lcs"
442,"Uttarakhand","Maj.General.B.C.Khanduri",NA,"11-09-2011","13-03-2012",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",184,1,2011-09-11,"2011",2,NA,NA,NA,NA,NA,NA
443,"Uttarakhand","Shri Vijaya Bahuguna",NA,"13-03-2012","31-01-2014",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",689,0,2012-03-13,"2012",3,68,"SITARGANJ",1,"AEUK100814","V. Bahuguna","lcs"
444,"Uttarakhand","Shri Harish Rawat",NA,"01-02-2014","27-03-2016",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",785,1,2014-02-01,"2014",3,42,"DHARCHULA",1,"AEUK100498","Harish Chandra Singh Rawat","lcs"
445,"Uttarakhand","Shri Harish Rawat",NA,"21-04-2016","22-04-2016",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",1,25,2016-04-21,"2016",3,42,"DHARCHULA",1,"AEUK100498","Harish Chandra Singh Rawat","lcs"
446,"Uttarakhand","Shri Harish Rawat",NA,"11-05-2016","18-03-2017",NA,"https://cm.uk.gov.in/pages/display/1160-exchief-ministers",311,19,2016-05-11,"2016",3,42,"DHARCHULA",1,"AEUK100498","Harish Chandra Singh Rawat","lcs"
