sl_no,state,name,,start_date,end_date,,source,days_in_off
1,Andhra Pradesh,Y. S. Jaganmohan Reddy,,30-05-2019,Incumbent,,http://ipr.ap.nic.in/release/ap_cms.asp,#VALUE!
2,Andhra Pradesh,Chandrababu Naidu,,02-06-2014,29-05-2019,,http://ipr.ap.nic.in/release/ap_cms.asp,1822
3,Andhra Pradesh,President's Rule,,01-03-2014,02-06-2014,,http://ipr.ap.nic.in/release/ap_cms.asp,93
4,Andhra Pradesh,Sri. N.Kiran Kumar Reddy,,25-11-2010,01-03-2014,,http://ipr.ap.nic.in/release/ap_cms.asp,1192
5,Andhra Pradesh,Sri. K. Rosaiah,,09-04-2009,24-11-2010,,http://ipr.ap.nic.in/release/ap_cms.asp,594
6,Andhra Pradesh,Dr.Y.S. Rajasekhara Reddy,,14-04-2004,09-02-2009,,http://ipr.ap.nic.in/release/ap_cms.asp,1762
7,Andhra Pradesh,Sri N. Chandra Babu Naidu,,09-01-1995,14-04-2004,,http://ipr.ap.nic.in/release/ap_cms.asp,3383
8,Andhra Pradesh,Sri N.T.Rama Rao,,12-12-1994,09-01-1995,,http://ipr.ap.nic.in/release/ap_cms.asp,28
9,Andhra Pradesh,Sri K.VijayaBhaskara Reddy,,10-09-1992,12-12-1994,,http://ipr.ap.nic.in/release/ap_cms.asp,823
10,Andhra Pradesh,Sri N.Janardhana Reddy,,17-12-1990,10-09-1992,,http://ipr.ap.nic.in/release/ap_cms.asp,633
11,Andhra Pradesh,Dr.Marri Chenna Reddy,,12-03-1989,17-12-1990,,http://ipr.ap.nic.in/release/ap_cms.asp,645
12,Andhra Pradesh,Sri N.T.Rama Rao,,03-09-1985,12-03-1989,,http://ipr.ap.nic.in/release/ap_cms.asp,1286
13,Andhra Pradesh,Sri N.T.Rama Rao,,16-09-1984,03-09-1985,,http://ipr.ap.nic.in/release/ap_cms.asp,352
14,Andhra Pradesh,Sri N.Bhaskara rao,,16-08-1984,16-09-1984,,http://ipr.ap.nic.in/release/ap_cms.asp,31
15,Andhra Pradesh,Sri N.T.Rama Rao,,01-09-1983,16-08-1984,,http://ipr.ap.nic.in/release/ap_cms.asp,350
16,Andhra Pradesh,Sri Bhavanam Venkataram,,24-02-1982,20-09-1982,,http://ipr.ap.nic.in/release/ap_cms.asp,208
17,Andhra Pradesh,Sri K.Vijaya Bhaskara Reddy,,09-01-1982,01-09-1983,,http://ipr.ap.nic.in/release/ap_cms.asp,600
18,Andhra Pradesh,Sri Tanguturi Anjaiah,,10-11-1980,24-02-1982,,http://ipr.ap.nic.in/release/ap_cms.asp,471
