State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Andhra_Pradesh,3,1,Sri (Dr)Neelam Sanjeeva Reddy,12/3/62,28/2/64,718,,no,no,0,185,0,1,AEAP26190,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,3,2,Sri Kasu Bramhananda Reddy,29/2/64,28/2/67,1095,1,no,no,0,110,0,1,AEAP25948,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,4,1,Sri Kasu Bramhananda Reddy,1/3/67,30/9/71,1674,1,no,no,0,105,0,1,AEAP24868,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,4,2,Sri P.V.Narasimha Rao,30/9/71,14/3/72,166,0,no,no,0,243,0,1,AEAP25359,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,5,1,Sri P.V.Narasimha Rao,14/3/72,18/1/73,310,0,no,no,0,243,0,1,AEAP24287,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,NA,1,President's rule,18/1/73,10/12/73,326,0,yes,no,0,,,,,,,,,
Andhra_Pradesh,5,2,Sri. Jalagam Vengala Rao,10/12/73,5/3/78,1546,0,no,no,0,271,0,1,GEAP30734,INC,2,FALSE,FALSE,FALSE
Andhra_Pradesh,6,1,Dr Marri Chenna Reddy,6/3/78,10/10/80,949,1,no,no,0,219,0,1,AEAP23024,INC(I),1,FALSE,FALSE,FALSE
Andhra_Pradesh,6,2,Sri Tanguturi Anjaiah,11/10/80,24/2/82,501,1,no,yes,0,,,,,,,,,
Andhra_Pradesh,6,3,Sri Bhavanam Venkataram,24/2/82,20/9/82,208,0,no,yes,0,,,,,,,,,
Andhra_Pradesh,6,4,Sri K.Vijaya Bhaskara Reddy,20/9/82,8/1/83,110,0,no,no,1,,,,,,,,,
Andhra_Pradesh,7,1,Sri N.T.Rama Rao,9/1/83,16/8/84,585,1,no,no,0,149,0,1,AEAP14941,IND,1,FALSE,FALSE,FALSE
Andhra_Pradesh,7,2,Sri N.Bhaskara rao,16/8/84,16/9/84,31,0,no,no,0,94,0,1,AEAP13877,IND,1,FALSE,FALSE,FALSE
Andhra_Pradesh,7,3,Sri N.T.Rama Rao,16/9/84,7/3/85,172,0,no,no,0,149,0,1,AEAP14941,IND,1,FALSE,FALSE,FALSE
Andhra_Pradesh,8,1,Sri N.T.Rama Rao,8/3/85,2/12/89,1730,1,no,no,0,289,0,1,AEAP20050,TDP,1,FALSE,FALSE,FALSE
Andhra_Pradesh,9,1,Dr.Marri Chenna Reddy,3/12/89,7/12/90,369,1,no,no,0,208,0,1,AEAP17516,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,9,2,Sri N.Janardhana Reddy,17/12/90,9/10/92,662,10,no,no,0,134,0,1,GEAP64950,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,9,3,Sri K.VijayaBhaskara Reddy,10/10/92,11/12/94,792,1,no,no,0,184,1,1,AEAP17377,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,10,1,Sri N.T.Rama Rao,12/12/94,31/8/95,262,1,no,no,0,3,0,1,AEAP12952,TDP,1,FALSE,FALSE,FALSE
Andhra_Pradesh,10,2,Sri N. Chandra Babu Naidu,1/9/95,9/10/99,1499,1,no,no,0,142,0,1,AEAP14475,TDP,2,TRUE,FALSE,FALSE
Andhra_Pradesh,11,1,Sri N. Chandra Babu Naidu,10/10/99,13/5/04,1677,1,no,no,0,142,0,1,AEAP11737,TDP,1,FALSE,FALSE,FALSE
Andhra_Pradesh,12,1,Dr.Y.S. Rajasekhara Reddy,14/5/04,19/5/09,1831,1,no,no,0,160,0,1,AEAP9640,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,13,1,Dr.Y.S. Rajasekhara Reddy,19/5/09,2/9/09,106,0,no,no,0,248,0,1,AEAP7966,INC,1,FALSE,FALSE,FALSE
Andhra_Pradesh,13,2,Sri. K. Rosaiah,3/9/09,24/11/10,447,1,no,yes,0,,,,,,,,,
Andhra_Pradesh,13,3,Sri. N.Kiran Kumar Reddy,25/11/10,28/2/14,1191,1,no,no,0,282,0,1,AEAP8495,INC,2,FALSE,FALSE,FALSE
Andhra_Pradesh,NA,2,President's Rule,1/3/14,2/6/14,93,1,yes,no,0,,,,,,,,,
Andhra_Pradesh,14,1,Chandrababu Naidu,2/6/14,29/5/19,1822,0,no,no,0,175,0,1,AEAP4236,TDP,1,FALSE,FALSE,FALSE
Andhra_Pradesh,15,1,Y. S. Jaganmohan Reddy,30/5/19,,,1,no,no,0,129,0,1,AEAP83077,YSRCP,1,FALSE,FALSE,FALSE
Arunachal_Pradesh,0,1,P.K. Thungon,16/8/75,20/3/78,947,,no,no,1,,,,,,,,,
Arunachal_Pradesh,1,1,P.K. Thungon,21/3/78,6/9/79,534,1,no,no,0,3,0,1,AEAR82169,JNP,1,FALSE,FALSE,FALSE
Arunachal_Pradesh,1,2,Late Tomo Riba,18/9/79,3/11/79,46,12,no,no,0,17,0,1,AEAR81689,PPA,1,FALSE,FALSE,FALSE
Arunachal_Pradesh,NA,3,President's Rule,3/11/79,18/1/80,76,0,,,0,,,,,,,,,
Arunachal_Pradesh,2,1,Gegong Apang,18/1/80,2/2/85,1842,0,no,no,0,19,0,1,AEAR82217,INC(I),2,TRUE,TRUE,TRUE
Arunachal_Pradesh,3,1,Gegong Apang,2/2/85,5/3/90,1857,0,no,no,0,19,0,1,AEAR82217,INC,3,TRUE,TRUE,TRUE
Arunachal_Pradesh,4,1,Gegong Apang,6/3/90,18/3/95,1838,1,no,no,0,34,0,1,AEAR82217,INC,4,FALSE,TRUE,TRUE
Arunachal_Pradesh,5,1,Gegong Apang,19/3/95,18/1/99,1401,1,no,no,0,34,0,1,AEAR82217,INC,5,FALSE,TRUE,TRUE
Arunachal_Pradesh,5,2,Mukut Mithi,19/1/99,9/10/99,263,1,no,no,0,43,0,1,AEAR82223,INC,3,FALSE,TRUE,TRUE
Arunachal_Pradesh,6,1,Mukut Mithi,10/10/99,2/8/03,1392,1,no,no,0,43,0,1,AEAR82223,INC,4,FALSE,TRUE,TRUE
Arunachal_Pradesh,6,2,Gegong Apang,3/8/03,23/10/04,447,1,no,no,0,34,0,1,AEAR82217,AC,6,FALSE,TRUE,TRUE
Arunachal_Pradesh,7,1,Gegong Apang,24/10/04,9/4/07,897,1,no,no,0,34,0,1,AEAR82217,INC,7,TRUE,TRUE,TRUE
Arunachal_Pradesh,7,2,Dorjee Khandu,10/4/07,22/10/09,926,1,no,no,0,,,,,,,,,
Arunachal_Pradesh,8,1,Dorjee Khandu,23/10/09,31/10/11,738,1,no,no,0,3,0,1,AEAR81614,INC,4,FALSE,FALSE,FALSE
Assam,3,1,B.P. Chaliha,3/3/62,1/3/67,1824,,no,no,0,90,0,1,AEAS197674,INC,1,FALSE,FALSE,FALSE
Assam,4,1,B.P. Chaliha,1/3/67,6/11/70,1346,0,no,no,0,110,0,1,AEAS197241,INC,1,FALSE,FALSE,FALSE
Assam,4,2,Mohendra Mohan Choudhury,11/11/70,30/1/72,445,5,no,no,0,58,0,1,AEAS196859,INC,1,FALSE,FALSE,FALSE
Assam,5,1,Shri Sarat Chandra Sinha,31/1/72,12/3/78,2232,1,no,no,0,39,0,1,AEAS196428,INC,1,FALSE,FALSE,FALSE
Assam,6,1,Shri Golap Borbora,12/3/78,4/9/79,541,0,no,no,0,122,0,1,AEAS196808,JNP,1,TRUE,FALSE,TRUE
Assam,6,2,Shri Jogendra Nath Hazarika,9/9/79,11/12/79,93,5,no,no,0,118,0,1,AEAS194829,JNP,1,FALSE,FALSE,FALSE
Assam,NA,1,President's Rule,12/12/79,5/12/80,359,1,yes,no,0,,,,,,,,,
