"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
55,"Goa","Shri Pratapsingh R. Rane",NA,"09-01-1990","27-03-1990",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",77,NA,1990-01-09,"1990",1,18,"PORIEM",0,NA,"RANE PRATAPSING RAOJI","cosine"
56,"Goa","Shri Churchill Alemao",NA,"27-03-1990","14-04-1990",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",18,0,1990-03-27,"1990",1,28,"BENAULIM",0,NA,"ALIMNO CHURCHIL BRAZ","cosine"
57,"Goa","Dr. Luis Proto Barbosa",NA,"14-04-1990","14-12-1990",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",244,0,1990-04-14,"1990",1,NA,NA,NA,NA,NA,"cosine"
58,"Goa","Shri Ravi S. Naik",NA,"25-01-1991","18-05-1993",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",844,42,1991-01-25,"1991",1,22,"MARCAIM",0,NA,"NAIK RAVI SITARAM","lcs"
59,"Goa","Dr. Wilfred de Souza",NA,"18-05-1993","02-04-1994",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",319,0,1993-05-18,"1993",1,8,"SALIGAO",0,NA,"DE SOUZA WILFRED TITO FERMINO","lcs"
60,"Goa","Shri Ravi S. Naik",NA,"02-04-1994","08-04-1994",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",6,0,1994-04-02,"1994",2,NA,NA,NA,NA,NA,NA
61,"Goa","Dr. Wilfred de Souza",NA,"08-04-1994","16-12-1994",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",252,0,1994-04-08,"1994",2,8,"SALIGAO",0,NA,"D'SOUZA WILFRED ANTHONY","lcs"
62,"Goa","Shri Pratapsingh R. Rane",NA,"16-12-1994","29-07-1998",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",1321,0,1994-12-16,"1994",2,18,"PORIEM",0,NA,"RANE PRATAPSINGH RAOJIRAO","lcs"
63,"Goa","Dr. Wilfred de Souza",NA,"29-07-1998","23-11-1998",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",117,0,1998-07-29,"1998",2,8,"SALIGAO",0,NA,"D'SOUZA WILFRED ANTHONY","lcs"
64,"Goa","Shri Luizinho Faleiro",NA,"26-11-1998","08-02-1999",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",74,3,1998-11-26,"1998",2,32,"NAVELIM",0,NA,"LUIZINHO FALEIRO","lcs"
65,"Goa","President’s Rule",NA,"10-02-1999","09-06-1999",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",119,2,1999-02-10,"1999",3,NA,NA,NA,NA,NA,NA
66,"Goa","Shri Luizinho Faleiro",NA,"09-06-1999","24-11-1999",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",168,0,1999-06-09,"1999",3,32,"NAVELIM",0,NA,"FALEIRO LUIZINHO","lcs"
67,"Goa","Shri Francisco Sardinha",NA,"24-11-1999","23-10-2000",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",334,0,1999-11-24,"1999",3,31,"CURTORIM",0,NA,"SARDINHA FRANCISCO CAITANO","lcs"
68,"Goa","Shri Manohar Parrikar",NA,"24-10-2000","02-02-2005",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",1562,1,2000-10-24,"2000",3,10,"PANAJI",0,NA,"PARRIKAR PRABHU MANOHAR","lcs"
69,"Goa","Shri Pratapsingh R. Rane",NA,"03-02-2005","04-03-2005",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",29,1,2005-02-03,"2005",4,18,"PORIEM",0,NA,"RANE PRATAPSING RAOJI","lcs"
70,"Goa","President’s Rule",NA,"04-03-2005","06-06-2005",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",94,0,2005-03-04,"2005",4,NA,NA,NA,NA,NA,NA
71,"Goa","Shri Pratapsingh R. Rane",NA,"07-06-2005","07-06-2007",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",730,1,2005-06-07,"2005",4,18,"PORIEM",0,NA,"RANE PRATAPSING RAOJI","lcs"
72,"Goa","Shri Digambar Kamat",NA,"08-06-2007","08-03-2012",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",1735,1,2007-06-08,"2007",5,30,"MARGAO",0,NA,"KAMAT DIGAMBAR","lcs"
73,"Goa","Shri Manohar Parrikar",NA,"09-03-2012","08-11-2014",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",974,1,2012-03-09,"2012",6,11,"PANAJI",0,NA,"MANOHAR PARRIKAR","lcs"
74,"Goa","Shri Laxmikant Parsekar",NA,"08-11-2014","11-03-2017",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",854,0,2014-11-08,"2014",6,1,"MANDREM",0,NA,"LAXMIKANT PARSEKAR","lcs"
75,"Goa","Shri Manohar Parrikar",NA,"14-03-2017","Till date",NA,"https://www.dip.goa.gov.in/list-of-past-chief-ministers-of-goa.php",NA,3,2017-03-14,"2017",7,NA,NA,NA,NA,NA,NA
