"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
92,"Haryana","Shri Bhagwat Dayal Sharma",NA,"01-11-1966","10-03-1967",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",129,NA,1966-11-01,"1966",0,NA,NA,NA,NA,NA,NA
93,"Haryana","Shri Bhagwat Dayal Sharma",NA,"11-03-1967","23-03-1967",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",12,1,1967-03-11,"1967",1,5,"YAMUNANAGAR",0,"AEHR23","B. DAYAL","lcs"
94,"Haryana","Rao Birender Singh",NA,"24-03-1967","15-07-1967",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",113,1,1967-03-24,"1967",1,NA,NA,NA,NA,NA,NA
95,"Haryana","Rao Birender Singh",NA,"16-07-1967","20-11-1967",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",127,1,1967-07-16,"1967",1,NA,NA,NA,NA,NA,"soundex"
96,"Haryana","SHRI BANSI LAL",NA,"21-05-1968","14-03-1972",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",1393,183,1968-05-21,"1968",2,66,"TOSHAM",0,"AEHR792","BANSI LAL","lcs"
97,"Haryana","SHRI BANSI LAL",NA,"14-03-1972","30-11-1975",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",1356,0,1972-03-14,"1972",3,66,"TOSHAM",0,"AEHR792","BANSI LAL","lcs"
98,"Haryana","Shri Banarsi Das Gupta",NA,"01-12-1975","30-04-1977",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",516,1,1975-12-01,"1975",3,67,"BHIWANI",0,"AEHR799","BANARSI DASS","lcs"
99,"Haryana","Chaudhary Devi Lal",NA,"21-06-1977","28-06-1979",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",737,52,1977-06-21,"1977",4,73,"BHATTU KALAN",0,"AEHR1791","DEVI LAL","lcs"
100,"Haryana","Shri Bhajan Lal",NA,"28-06-1979","23-05-1982",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",1060,0,1979-06-28,"1979",4,79,"ADAMPUR",0,"AEHR828","BHAJAN LAL","lcs"
101,"Haryana","Shri Bhajan Lal",NA,"23-05-1982","04-06-1986",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",1473,0,1982-05-23,"1982",5,79,"ADAMPUR",0,"AEHR828","BHAJAN LAL","lcs"
102,"Haryana","SHRI BANSI LAL",NA,"05-06-1986","20-06-1987",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",380,1,1986-06-05,"1986",5,NA,NA,NA,NA,NA,NA
103,"Haryana","Chaudhary Devi Lal",NA,"20-06-1987","02-12-1989",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",896,0,1987-06-20,"1987",6,31,"MEHAM",0,"AEHR2267","DEVI LAL","lcs"
104,"Haryana","Shri Om Parkash Chautala",NA,"02-12-1989","22-05-1990",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",171,0,1989-12-02,"1989",6,NA,NA,NA,NA,NA,NA
105,"Haryana","Shri Banarsi Das Gupta",NA,"23-05-1990","12-07-1990",NA,"https://haryanacmoffice.gov.in/previous-chief-minister-of-haryana",50,1,1990-05-23,"1990",6,66,"BHIWANI",0,"AEHR3969","BANARSI DASS GUPTA","lcs"
