"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
115,"Jammu and Kashmir","Mehr Chand Mahajan",NA,"15-10-1947","05-03-1948",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",142,NA,1947-10-15,"1947",0,NA,NA,NA,NA,NA,NA
116,"Jammu and Kashmir","Sheikh Mohammad Abdullah",NA,"05-03-1948","09-08-1953",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",1983,0,1948-03-05,"1948",0,NA,NA,NA,NA,NA,NA
117,"Jammu and Kashmir","Bakshi Ghulam Mohammad",NA,"09-08-1953","12-10-1963",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",3716,0,1953-08-09,"1953",0,NA,NA,NA,NA,NA,NA
118,"Jammu and Kashmir","Khwaja Shamsuddin",NA,"12-10-1963","29-02-1964",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",140,0,1963-10-12,"1963",1,NA,NA,NA,NA,NA,NA
119,"Jammu and Kashmir","Ghulam Mohammed Sadiq",NA,"29-02-1964","30-03-1965",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",395,0,1964-02-29,"1964",1,NA,NA,NA,NA,NA,NA
120,"Jammu and Kashmir","Shri Ghulam Mohammed Sadiq",NA,"30-03-1965","12-12-1971",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",2448,0,1965-03-30,"1965",1,NA,NA,NA,NA,NA,NA
121,"Jammu and Kashmir","Syed Mir Qasim",NA,"12-12-1971","25-02-1975",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",1171,0,1971-12-12,"1971",2,41,"VERINAG",0,"AEMD105571","M. QASIM","lcs"
122,"Jammu and Kashmir","Sheikh Mohammad Abdullah",NA,"25-02-1975","26-03-1977",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",760,0,1975-02-25,"1975",3,NA,NA,NA,NA,NA,NA
123,"Jammu and Kashmir","Governor's Rule (Lakshmi Kanth Jha)",NA,"26-03-1977","09-07-1977",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",105,0,1977-03-26,"1977",4,NA,NA,NA,NA,NA,NA
124,"Jammu and Kashmir","Sheikh Mohammad Abdullah",NA,"09-07-1977","08-09-1982",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",1887,0,1977-07-09,"1977",4,15,"GANDERBAL",0,"AEMD104791","SHEIKH MOHAMMAD ABDULLAH","lcs"
125,"Jammu and Kashmir","Dr Farooq Abdullah",NA,"08-09-1982","02-07-1984",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",663,0,1982-09-08,"1982",4,NA,NA,NA,NA,NA,NA
126,"Jammu and Kashmir","Shri Ghulam Mohammad Shah",NA,"02-07-1984","06-03-1986",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",612,0,1984-07-02,"1984",5,NA,NA,NA,NA,NA,NA
127,"Jammu and Kashmir","Governor's Rule (Shri Jagmohan)",NA,"06-03-1986","07-11-1986",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",246,0,1986-03-06,"1986",5,NA,NA,NA,NA,NA,NA
128,"Jammu and Kashmir","Dr Farooq Abdullah",NA,"07-11-1986","19-01-1990",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",1169,0,1986-11-07,"1986",5,15,"GANDERBAL",0,"AEMD104281","FAROOQ ABDULLAH","lcs"
129,"Jammu and Kashmir","Governor's Rule (Shri Jagmohan)",NA,"19-01-1990","09-10-1996",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",2455,0,1990-01-19,"1990",6,NA,NA,NA,NA,NA,NA
130,"Jammu and Kashmir","Dr Farooq Abdullah",NA,"09-10-1996","18-10-2002",NA,"https://jkgad.nic.in/PDF/cmarchive.PDF",2200,0,1996-10-09,"1996",7,17,"GANDERBAL",0,"AEMD103192","FAROOQ ABDULLAH","lcs"
