"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
276,"Nagaland"," P.Shilu Ao",NA,"01-12-1963","14-08-1966",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",987,NA,1963-12-01,"1963",0,NA,NA,NA,NA,NA,NA
277,"Nagaland"," T.N. Angami",NA,"14-08-1966","22-02-1969",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",923,0,1966-08-14,"1966",1,6,"WESTREN ANGAMI",0,"AENL245","SHRI T.N. ANGAMI","lcs"
278,"Nagaland"," Hokishe Sema",NA,"22-02-1969","26-02-1974",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",1830,0,1969-02-22,"1969",2,30,"AKULUTO",0,"AENL57","HOKISE SEMA","lcs"
279,"Nagaland"," Vizol Angami",NA,"26-02-1974","10-03-1975",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",377,0,1974-02-26,"1974",3,15,"SOUTHERN ANGAMI-II",0,"AENL1117","VIZOL","lcs"
280,"Nagaland"," John Bosco   Jasokie",NA,"10-03-1975","20-03-1975",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",10,0,1975-03-10,"1975",3,9,"KOHIMA TOWN",0,"AENL16","JOHN BOSCO JASOKIE","lcs"
281,"Nagaland"," President's   rule",NA,"20-03-1975","25-11-1977",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",981,0,1975-03-20,"1975",3,NA,NA,NA,NA,NA,NA
282,"Nagaland"," Vizol   Angami[2]",NA,"25-11-1977","18-04-1980",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",875,0,1977-11-25,"1977",4,15,"SOUTHERN ANGAMI-II",0,"AENL1117","VIZOL","lcs"
283,"Nagaland"," S.C. Jamir",NA,"18-04-1980","04-06-1980",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",47,0,1980-04-18,"1980",4,26,"AONGLENDEN",0,"AENL526","S. C. JAMIR","lcs"
284,"Nagaland"," John Bosco  Jasokie[2]",NA,"05-06-1980","18-11-1982",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",896,1,1980-06-05,"1980",4,9,"KOHIMA TOWN",0,"AENL16","J. B. JASKIE","lcs"
285,"Nagaland"," S.C. Jamir[2]",NA,"18-11-1982","28-10-1986",NA,"https://www.nagaland.gov.in/portal/portal/StatePortal/Government/ChiefMinister",1440,0,1982-11-18,"1982",5,26,"AONGLENDEN",0,"AENL526","S. C. JAMIR","lcs"
