"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
300,"Odisha","Captain Krishna Chandra Gajapati Narayan Deo",NA,"24-11-1941","30-06-1944",NA,"https://cm.odisha.gov.in/former-cms",949,NA,1941-11-24,"1941",0,NA,NA,NA,NA,NA,NA
301,"Odisha","Dr. Harekrushna Mahtab",NA,"23-04-1946","12-05-1950",NA,"https://cm.odisha.gov.in/former-cms",1480,662,1946-04-23,"1946",0,NA,NA,NA,NA,NA,NA
302,"Odisha","Shri Nabakrushna Choudhury",NA,"12-05-1950","19-10-1956",NA,"https://cm.odisha.gov.in/former-cms",2352,0,1950-05-12,"1950",0,NA,NA,NA,NA,NA,NA
303,"Odisha","Dr. Harekrushna Mahtab",NA,"19-10-1956","25-02-1961",NA,"https://cm.odisha.gov.in/former-cms",1590,0,1956-10-19,"1956",0,NA,NA,NA,NA,NA,NA
304,"Odisha","Shri Biren Mitra",NA,"02-10-1963","21-02-1965",NA,"https://cm.odisha.gov.in/former-cms",508,949,1963-10-02,"1963",0,NA,NA,NA,NA,NA,NA
305,"Odisha","Shri Sadasiva Tripathy",NA,"21-02-1965","08-03-1967",NA,"https://cm.odisha.gov.in/former-cms",745,0,1965-02-21,"1965",0,NA,NA,NA,NA,NA,NA
306,"Odisha","Shri Rajendra Narayan Singh Deo",NA,"08-03-1967","09-01-1971",NA,"https://cm.odisha.gov.in/former-cms",1403,0,1967-03-08,"1967",4,NA,NA,NA,NA,NA,NA
307,"Odisha","Shri Biswanath Das",NA,"03-04-1971","14-06-1972",NA,"https://cm.odisha.gov.in/former-cms",438,84,1971-04-03,"1971",5,125,"ROURKELA",1,"AEOD10658","B.DAS","lcs"
308,"Odisha","Smt. Nandini Satapathy",NA,"14-06-1972","16-12-1976",NA,"https://cm.odisha.gov.in/former-cms",1646,0,1972-06-14,"1972",5,41,"CUTTACK",1,"AEOD10177","N.SATPATHY","lcs"
309,"Odisha","Shri Binayak Acharya",NA,"29-12-1976","30-04-1977",NA,"https://cm.odisha.gov.in/former-cms",122,13,1976-12-29,"1976",6,75,"BERHAMPUR",0,"AEOD10342","BINAYAK ACHARYA","lcs"
310,"Odisha","Shri Nilamani Routray",NA,"26-06-1977","17-02-1980",NA,"https://cm.odisha.gov.in/former-cms",966,57,1977-06-26,"1977",7,22,"BASUDEVPUR",0,"AEOD8671","NILAMONI ROUTRAY","lcs"
311,"Odisha","Shri Janaki Ballav Patnaik",NA,"09-06-1980","07-12-1989",NA,"https://cm.odisha.gov.in/former-cms",3468,113,1980-06-09,"1980",8,47,"ATHGARH",1,"AEOD8061","J.B.PATNAIK","lcs"
312,"Odisha","Shri Hemananda Biswal",NA,"07-12-1989","04-03-1990",NA,"https://cm.odisha.gov.in/former-cms",87,0,1989-12-07,"1989",9,131,"LAIKERA",0,"GEODGEOD70941","HEMANANDA BISWAL","lcs"
313,"Odisha","Shri Biju Patnaik",NA,"05-03-1990","15-03-1995",NA,"https://cm.odisha.gov.in/former-cms",1836,1,1990-03-05,"1990",10,50,"BHUBANESWAR",0,"AEOD10214","BIJU PATNAIK","lcs"
314,"Odisha","Shri Janaki Ballav Patnaik",NA,"15-03-1995","17-02-1999",NA,"https://cm.odisha.gov.in/former-cms",1435,0,1995-03-15,"1995",11,6,"Begunia",1,"AEOD8061","J.B. Patnaik","lcs"
315,"Odisha","Dr. Giridhar Gamang",NA,"17-02-1999","06-12-1999",NA,"https://cm.odisha.gov.in/former-cms",292,0,1999-02-17,"1999",11,NA,NA,NA,NA,NA,NA
316,"Odisha","Shri Hemananda Biswal",NA,"06-12-1999","05-03-2000",NA,"https://cm.odisha.gov.in/former-cms",90,0,1999-12-06,"1999",11,131,"LAIKERA",0,"GEODGEOD70941","HEMANAND BISWAL","lcs"
