name,gender,appointment_begin,appointment_end,term_duration_days,appointment_delay_days,source
Dr. Sarvepalli Radhakrishnan,M,13/05/1952,12/05/1962,3651,,https://vicepresidentofindia.nic.in/former-vice-Presidents
Dr. Zakir Hussain,M,13/05/1962,12/05/1967,1825,1,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. V.V. Giri,M,13/05/1967,03/05/1969,721,1,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. Gopal Swarup Pathak,M,31/08/1969,30/08/1974,1825,120,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. B.D.Jatti,M,31/08/1974,30/08/1979,1825,1,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. M. Hidayatullah,M,31/08/1979,30/08/1984,1826,1,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. R. Venkataraman,M,31/08/1984,24/07/1987,1057,1,https://vicepresidentofindia.nic.in/former-vice-Presidents
Dr. Shanker Dayal Sharma,M,03/09/1987,24/07/1992,1786,41,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. K.R. Narayanan,M,21/08/1992,24/07/1997,1798,28,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. Krishan Kant,M,21/08/1997,27/07/2002,1801,28,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. Bhairon Singh Shekhawat,M,19/08/2002,21/07/2007,1797,23,https://vicepresidentofindia.nic.in/former-vice-Presidents
Sh. M. Hamid Ansari,M,11/08/2007,10/08/2017,3652,21,https://vicepresidentofindia.nic.in/former-vice-Presidents
Shri M. Venkaiah Naidu,M,,-,,,https://vicepresidentofindia.nic.in/
